ZIP_CODE,FHSZ,Risk Category
95938,1.3333333333333333,Low
95939,2.810810810810811,High
95941,3.0,High
95942,2.909090909090909,High
95944,3.0,High
95945,2.5555555555555554,High
95946,2.3333333333333335,Moderate
95947,2.8125,High
95949,2.0384615384615383,Moderate
95954,2.933333333333333,High
95956,2.8333333333333335,High
95959,2.9210526315789473,High
95960,3.0,High
95962,2.25,Moderate
95963,2.16,Moderate
95965,2.210526315789474,Moderate
95966,1.7209302325581395,Moderate
95968,1.5,Moderate
95969,2.473684210526316,Moderate
95971,2.7777777777777777,High
95972,2.3333333333333335,Moderate
95973,1.588235294117647,Moderate
95975,2.3333333333333335,Moderate
95977,2.1666666666666665,Moderate
95979,2.5555555555555554,High
95981,2.9591836734693877,High
95983,2.9411764705882355,High
95984,2.9705882352941178,High
95987,2.138888888888889,Moderate
95988,1.5588235294117647,Moderate
96001,2.7857142857142856,High
96002,2.6666666666666665,High
96003,2.6296296296296298,High
96006,1.25,Low
96007,2.1132075471698113,Moderate
96008,2.5,High
96010,3.0,High
96013,2.4545454545454546,Moderate
96014,2.5277777777777777,High
96015,2.25,Moderate
96016,2.6363636363636362,High
96017,3.0,High
96019,2.7142857142857144,High
96020,2.5526315789473686,High
96021,2.1515151515151514,Moderate
96022,2.066666666666667,Moderate
96023,2.1184210526315788,Moderate
96024,2.5416666666666665,High
96025,3.0,High
96027,2.4727272727272727,Moderate
96028,1.951219512195122,Moderate
96031,3.0,High
96032,2.3711340206185567,Moderate
96033,2.985294117647059,High
96034,2.2,Moderate
96035,1.2,Low
96038,1.5555555555555556,Moderate
96039,3.0,High
96040,2.4761904761904763,Moderate
96041,2.789473684210526,High
96044,2.5294117647058822,High
96046,2.673469387755102,High
96047,2.4375,Moderate
96048,3.0,High
96050,2.935185185185185,High
96051,3.0,High
96052,2.921875,High
96054,2.4779874213836477,Moderate
96055,1.5,Moderate
96056,2.3937232524964336,Moderate
96057,3.0,High
96058,2.361607142857143,Moderate
96059,2.6,High
96061,3.0,High
96062,2.1666666666666665,Moderate
96063,3.0,High
96064,2.0,Moderate
96065,2.9887640449438204,High
96067,2.466666666666667,Moderate
96069,2.4166666666666665,Moderate
96071,2.962962962962963,High
96073,1.5714285714285714,Moderate
96075,2.4444444444444446,Moderate
96076,3.0,High
96080,2.213740458015267,Moderate
96085,3.0,High
96086,3.0,High
96087,3.0,High
96088,2.44,Moderate
96091,2.9126984126984126,High
96093,2.5,High
96094,2.0,Moderate
96096,2.25,Moderate
96097,2.566666666666667,High
96101,2.262376237623762,Moderate
96103,2.657142857142857,High
96104,2.095744680851064,Moderate
96105,2.326530612244898,Moderate
96106,2.0,Moderate
96107,2.064516129032258,Moderate
96108,2.12,Moderate
96109,2.5384615384615383,High
96111,2.5,High
96112,1.7746478873239437,Moderate
96113,1.96875,Moderate
96114,2.340909090909091,Moderate
96115,1.7205882352941178,Moderate
96116,2.2151162790697674,Moderate
96117,1.6538461538461537,Moderate
96118,2.357142857142857,Moderate
96119,2.304054054054054,Moderate
96120,2.2386363636363638,Moderate
96121,2.7333333333333334,High
96122,2.717391304347826,High
96123,2.1634980988593155,Moderate
96124,2.5643564356435644,High
96125,3.0,High
96126,2.6,High
96129,2.36,Moderate
96130,2.1631944444444446,Moderate
96132,2.173469387755102,Moderate
